Project,Lapse_time,DAVIS_AUROC,DAIVS_AUPRC,DAVIS_SEN,DAVIS_SPEC,BINDING_AUROC,BINDING_AUPRC,BINDING_SEN,BINDING_SPEC,BIOSNAP_AUROC,BIOSNAP_AUPRC,BIOSNAP_SEN,BIOSNAP_SPEC
Dataset-DAVIS_ProtT-545_ProtS-545_Lambda-learnable,1115.1465854644775,0.8982,0.4032,0.8383,0.8096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Dataset-BindingDB_ProtT-545_ProtS-545_Lambda-learnable,3375.47614979744,-1.0,-1.0,-1.0,-1.0,0.9152,0.6483,0.9003,0.7893,-1.0,-1.0,-1.0,-1.0
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-learnable,5747.688143730164,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9171,0.9184,0.8505,0.8552
Dataset-merged_ProtT-545_ProtS-545_Lambda-learnable,6084.225821733475,0.9034,0.419,0.8614,0.7784,0.9097,0.6343,0.8409,0.8262,0.9081,0.9146,0.852,0.8111
Dataset-DAVIS_ProtT-545_ProtS-545_Lambda-learnable,9973.703104257584,0.8946,0.3607,0.8284,0.8246,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Dataset-DAVIS_ProtT-545_ProtS-545_Lambda-learnable,1230.6747570037842,0.8935,0.3685,0.9043,0.6813,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Dataset-BindingDB_ProtT-545_ProtS-545_Lambda-learnable,11688.387204408646,-1.0,-1.0,-1.0,-1.0,0.9172,0.6505,0.8903,0.8038,-1.0,-1.0,-1.0,-1.0
Dataset-DAVIS_ProtT-545_ProtS-545_Lambda-learnable,1296.884456396103,0.8909,0.3702,0.802,0.8334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Dataset-DAVIS_ProtT-545_ProtS-545_Lambda-learnable,1161.8647921085358,0.8982,0.3633,0.7921,0.8588,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-learnable,14401.480405569077,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9159,0.9134,0.8693,0.8185
Dataset-BindingDB_ProtT-545_ProtS-545_Lambda-learnable,3251.3435838222504,-1.0,-1.0,-1.0,-1.0,0.9087,0.6358,0.9029,0.7694,-1.0,-1.0,-1.0,-1.0
Dataset-BindingDB_ProtT-545_ProtS-545_Lambda-learnable,10708.725417613983,-1.0,-1.0,-1.0,-1.0,0.9129,0.6381,0.874,0.8056,-1.0,-1.0,-1.0,-1.0
Dataset-BindingDB_ProtT-545_ProtS-545_Lambda-learnable,10951.725825309752,-1.0,-1.0,-1.0,-1.0,0.9079,0.6425,0.874,0.7944,-1.0,-1.0,-1.0,-1.0
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-learnable,12116.043533802032,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9096,0.9045,0.8509,0.8225
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-learnable,12559.333423614502,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9113,0.9142,0.8426,0.846
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-fixed-0.75,10371.73707318306,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9144,0.9139,0.8253,0.8588
Dataset-merged_ProtT-545_ProtS-545_Lambda-learnable,19831.35379052162,0.8926,0.3886,0.8449,0.809,0.9144,0.6326,0.8845,0.8035,0.9026,0.9072,0.8296,0.8185
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-learnable,30225.66751742363,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9157,0.9205,0.8245,0.8757
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-fixed-0,36613.55929374695,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9172,0.9182,0.8458,0.8464
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-fixed-0.25,36677.938799381256,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9141,0.9133,0.8502,0.8574
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-fixed-0.5,36934.235791921616,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9182,0.9201,0.8404,0.8669
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-fixed-1.0,37398.58241844177,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8721,0.8794,0.7892,0.7961
Dataset-merged_ProtT-545_ProtS-545_Lambda-learnable,52649.05047917366,0.8936,0.4365,0.8482,0.7891,0.9068,0.6277,0.8493,0.8072,0.9072,0.9115,0.8466,0.8247
Dataset-merged_ProtT-545_ProtS-545_Lambda-learnable,52704.276844501495,0.9027,0.4155,0.8845,0.7526,0.915,0.6473,0.8777,0.815,0.9154,0.9169,0.8675,0.821
Dataset-merged_ProtT-545_ProtS-545_Lambda-learnable,52973.70072412491,0.8975,0.3709,0.8614,0.7994,0.9165,0.6392,0.8929,0.8009,0.9145,0.9173,0.8523,0.8276
Dataset-BIOSNAP_ProtT-545_ProtS-545_Lambda-fixed-0.75,5625.374403476715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9105,0.9118,0.8426,0.8401
